风速中心(m/s),中值功率(kW),下边缘(kW),上边缘(kW),样本数,原始样本数
0.00,0.00,0.00,0.00,16,16
0.60,0.00,0.00,0.00,9,9
1.00,0.00,0.00,0.00,14,14
1.10,0.00,0.00,0.00,10,10
1.20,0.00,0.00,0.00,9,9
1.50,0.00,0.00,0.00,10,10
1.80,0.16,0.00,1.76,8,10
1.90,1.04,0.00,5.25,12,14
2.00,1.58,0.00,8.43,33,35
2.10,2.63,0.00,11.85,43,45
2.20,1.64,0.00,13.64,64,64
2.30,0.72,0.00,11.29,101,107
2.40,0.05,0.00,6.33,198,220
2.50,0.00,0.00,3.32,296,354
2.60,0.00,0.00,1.56,635,743
2.70,0.00,0.00,1.55,1034,1242
2.80,0.00,0.00,1.81,1784,2123
2.90,0.00,0.00,3.22,1927,2250
3.00,0.01,0.00,6.72,3039,3480
3.10,0.63,0.00,12.25,3314,3593
3.20,2.62,0.00,19.41,4188,4385
3.30,8.12,0.00,28.01,3937,4057
3.40,16.02,0.00,37.11,5187,5265
3.50,24.59,0.00,45.68,5095,5146
3.60,33.61,0.00,54.91,5156,5172
3.70,38.23,0.09,59.70,4758,4794
3.80,53.64,2.37,75.57,6,6208
3.90,71.09,33.23,92.54,5148,5201
4.00,76.29,43.79,97.78,5884,6693
4.10,82.37,62.62,103.57,4936,5516
4.20,100.15,78.88,123.27,6,6894
4.30,116.18,93.85,141.04,6058,6535
4.40,122.58,99.54,147.89,6265,6623
4.50,135.41,111.40,161.27,6569,6896
4.60,147.79,122.65,174.40,6718,6985
4.70,161.83,135.79,189.44,6006,6262
4.80,174.12,147.35,203.02,7464,7706
4.90,187.59,160.26,217.83,5978,6166
5.00,201.69,173.59,233.21,7160,7377
5.10,216.18,187.23,249.11,5723,5908
5.20,231.94,201.81,266.48,6902,7161
5.30,245.88,214.80,283.31,6241,6456
5.40,262.62,229.21,303.55,6059,6241
5.50,279.54,243.08,324.06,5943,6053
5.60,293.28,268.23,329.10,5823,5976
5.70,300.02,280.38,331.70,6841,8953
5.80,321.67,301.66,354.93,6,6134
5.90,362.14,314.09,417.51,4819,4941
6.00,370.59,321.88,427.63,5565,5678
6.10,391.30,340.31,450.67,4620,4722
6.20,412.92,360.35,475.15,5548,5679
6.30,433.20,379.51,496.45,4930,5060
6.40,454.47,399.27,519.15,4922,5067
6.50,477.42,419.81,542.42,4280,4402
6.60,500.80,440.16,567.92,5109,5258
6.70,525.65,461.88,596.34,4128,4229
6.80,549.79,484.36,624.03,5021,5144
6.90,575.25,507.08,654.30,3987,4093
7.00,600.31,530.99,682.22,4971,5078
7.10,626.99,555.25,712.02,3896,3977
7.20,656.80,582.88,741.25,4791,4913
7.30,684.46,608.77,769.91,4304,4428
7.40,713.55,636.47,799.57,4329,4446
7.50,742.68,663.65,833.23,3767,3895
7.60,770.33,689.04,864.52,4730,4853
7.70,799.51,716.83,899.58,3609,3713
7.80,829.50,746.91,933.08,4485,4613
7.90,859.20,774.58,965.86,3513,3616
8.00,891.02,802.31,996.80,4317,4433
8.10,923.24,830.50,1027.49,3313,3420
8.20,957.72,862.79,1060.74,4025,4146
8.30,986.03,891.56,1090.04,3508,3623
8.40,1016.48,922.52,1123.56,3485,3615
8.50,1050.24,953.18,1159.70,3017,3151
8.60,1081.56,980.00,1195.48,3611,3723
8.70,1115.21,1008.54,1230.95,2923,3025
8.80,1147.30,1040.05,1264.44,3507,3629
8.90,1180.13,1069.59,1296.71,3001,3124
9.00,1214.56,1101.15,1329.06,3135,3258
9.10,1246.92,1129.80,1364.45,2690,2790
9.20,1277.55,1160.55,1392.71,3305,3426
9.30,1303.67,1187.84,1423.09,2871,2996
9.40,1335.81,1223.17,1453.69,2699,2901
9.50,1368.83,1259.63,1492.75,2400,2563
9.60,1395.54,1288.04,1520.19,2954,3151
9.70,1425.49,1317.35,1548.92,2398,2541
9.80,1454.33,1345.02,1580.31,2897,3088
9.90,1483.53,1371.61,1614.12,2559,2741
10.00,1511.79,1393.93,1651.54,2472,2648
10.10,1543.18,1419.10,1683.86,2165,2314
10.20,1571.26,1444.12,1716.27,2524,2682
10.30,1596.85,1469.31,1741.71,2319,2496
10.40,1624.65,1494.32,1772.32,2179,2346
10.50,1653.26,1518.36,1799.34,1887,2017
10.60,1682.02,1537.81,1828.90,2190,2400
10.70,1703.36,1544.56,1852.17,1807,1976
10.80,1717.95,1549.02,1866.32,2183,2330
10.90,1749.47,1573.15,1897.85,6,1988
11.00,1786.45,1617.73,1935.70,1739,1862
11.10,1786.64,1618.02,1935.80,1567,1694
11.20,1790.24,1625.00,1942.88,8,1921
11.30,2102.30,2101.57,2102.63,7,1800
11.40,1902.51,1690.80,2045.07,6,1713
11.50,1912.10,1689.59,2051.40,1453,1565
11.60,1925.08,1699.09,2057.15,1646,1757
11.70,1952.82,1723.15,2069.13,1337,1432
11.80,1975.22,1745.53,2079.34,1576,1663
11.90,1990.56,1755.50,2085.41,1369,1462
12.00,2006.08,1763.97,2090.10,1296,1387
12.10,2026.12,1773.40,2093.55,1108,1194
12.20,2043.89,1781.80,2095.89,1313,1405
12.30,2054.14,1787.51,2097.09,1117,1199
12.40,2065.08,1797.05,2097.70,1161,1258
12.50,2071.09,1824.77,2098.40,921,1013
12.60,2075.92,1820.26,2098.98,1093,1214
12.70,2077.72,1820.37,2099.66,907,986
12.80,2080.82,1833.07,2100.30,1017,1133
12.90,2082.31,1813.03,2100.71,882,1013
13.00,2085.53,1844.37,2101.06,832,935
13.10,2085.69,1768.48,2100.99,664,773
13.20,2085.08,1769.30,2101.08,852,933
13.30,2084.51,1704.40,2100.97,681,754
13.40,2085.30,1709.55,2101.14,782,888
13.50,2088.41,1737.57,2101.27,624,700
13.60,2089.62,1744.28,2101.22,659,744
13.70,2090.11,1776.96,2100.92,506,570
13.80,2088.78,1788.82,2100.77,547,621
13.90,2089.59,1875.84,2100.79,489,552
14.00,2090.10,1895.98,2100.97,406,494
14.10,2091.88,1929.69,2101.17,404,458
14.20,2092.22,1928.67,2101.38,368,424
14.30,2089.88,1873.71,2101.56,268,340
14.40,2089.62,1814.14,2101.41,375,420
14.50,2085.51,1697.53,2101.49,220,256
14.60,2086.12,1691.58,2101.59,303,343
14.70,2085.82,1685.69,2101.65,219,243
14.80,2088.95,1695.22,2101.73,266,290
14.90,2088.22,1700.62,2101.67,221,247
15.00,2087.79,1698.35,2101.86,219,239
15.10,2086.46,1707.89,2101.75,175,189
15.20,2086.88,1705.57,2101.90,220,238
15.30,2088.96,1812.37,2101.96,162,175
15.40,2091.93,1924.94,2102.09,158,192
15.50,2095.55,2061.68,2102.22,109,135
15.60,2091.34,1907.85,2102.13,141,173
15.70,2087.34,1789.09,2101.78,149,156
15.80,2084.73,1706.12,2101.49,120,130
15.90,2083.45,1703.48,2100.96,128,143
16.00,2080.52,1709.94,2100.01,112,121
16.10,2073.59,1641.73,2099.14,114,126
16.20,2073.24,1719.79,2098.79,97,109
16.30,2076.13,1713.53,2099.51,76,88
16.40,2077.89,1731.47,2099.93,84,90
16.50,2075.49,1640.83,2100.69,73,81
16.60,2066.90,1666.13,2100.00,78,83
16.70,2067.44,1644.15,2099.72,63,68
16.80,2069.19,1658.61,2099.39,74,77
16.90,2071.96,1600.41,2099.36,63,68
17.00,2066.90,1585.96,2099.45,51,54
17.10,2068.88,1703.58,2098.90,62,64
17.20,2073.85,1852.36,2100.28,53,66
17.30,2082.68,2015.91,2101.32,41,50
17.40,2082.28,1986.40,2102.10,63,75
17.50,2089.85,1994.21,2102.38,67,79
17.60,2093.46,2003.30,2102.34,75,89
17.70,2093.82,1936.17,2102.33,51,59
17.80,2091.10,1938.33,2102.18,51,52
17.90,2087.79,1898.67,2101.56,50,63
18.00,2085.09,1886.55,2100.60,54,60
18.10,2080.24,1858.82,2100.48,52,52
18.20,2081.74,1905.39,2100.95,35,44
18.30,2084.68,1986.73,2102.12,49,60
18.40,2082.48,1875.36,2101.53,56,62
18.50,2078.43,1862.27,2101.44,39,40
18.60,2077.36,1880.74,2099.93,62,73
18.70,2073.45,1970.66,2097.22,42,46
18.80,2069.90,1970.77,2094.99,45,47
18.90,2067.47,1986.02,2095.12,27,31
19.00,2075.05,2022.74,2098.73,30,37
19.10,2081.55,2049.19,2099.71,37,45
19.20,2084.29,2056.60,2099.57,23,29
19.30,2083.84,2063.91,2099.64,28,35
19.40,2080.09,2057.73,2098.74,29,33
19.50,2073.80,2052.00,2097.11,24,28
19.60,2066.79,1873.42,2095.03,13,17
19.70,2063.35,1856.66,2090.24,15,15
19.80,2066.40,1853.40,2088.30,19,25
19.90,2072.84,2056.32,2085.00,11,12
